商家名称,商家图片,联系人,联系电话,微信号,入驻时长（单位：月）,商家地址,简介
娃哈哈西林水站,https://photo-meituan.cdn.bcebos.com/photo/1737703219b28ea3c243376119f6a1162d17a224ca,021-57723606/18916203606,021-57723606/18916203606, ,6,环城路1166弄8号1层, 
桶装水配送站,https://poi-pic-gz.cdn.bcebos.com/pic_ad82d546524ac9e41805865749486bac.jpeg,13661785075,13661785075, ,6,上海市宝山区月塘路316号, 
恒大冰泉直销店(南翔水站),https://taojin-his.cdn.bcebos.com/a6efce1b9d16fdfa448166c0bb8f8c5494ee7b2b.jpg,(021)59120440,(021)59120440, ,6,上海市嘉定区南翔镇火车站路104号, 
桶装瓶装饮用水,https://taojin-his.cdn.bcebos.com/80cb39dbb6fd5266d926cffda618972bd50736cd.jpg,(021)69691783,(021)69691783, ,6,上海市崇明区学宫路沁园村小区东侧约60米, 
农夫山泉桶装水配送,https://lbsugc.cdn.bcebos.com/images/b427ef73ab9996e033007eae0c345eee_4767.jpeg,19921253459,19921253459, ,6,上海市闵行区纪翟路2762-3号-临, 
金汇桶装水配送中心,https://poi-pic-gz.cdn.bcebos.com/pic_abca16d1181e4b75db97f2cbfe3ed11a.jpeg,18917369990,18917369990, ,6,上海市奉贤区金钱公路339号, 
淼淼水站,https://taojin-his.cdn.bcebos.com/241f95cad1c8a786e66302df6909c93d71cf5091.jpg,15221582556,15221582556, ,6,南亭公路6199号, 
农夫山泉水站(张江店),https://photo-meituan.cdn.bcebos.com/photo/16946782234ee5c2af5759c263f67d0955336cbbf0,021-58553470/15921206138,021-58553470/15921206138, ,6,上海市浦东新区川北公路2965号附近, 
景田水站,https://poi-pic-gz.cdn.bcebos.com/pic_37694b171ae6ed34c05cc4f6d29161a1.jpeg,19512355292,19512355292, ,6,万达茂金街B区1楼136号(快递超市旁边), 
农夫山泉(愚园路水站),https://lbsugc.cdn.bcebos.com/images/03b7120731fa346c0f445e4af54ee12b_7128.jpeg,13611668720/62267222/62267444,13611668720/62267222/62267444, ,6,上海市长宁区镇宁路405弄73号, 
